tcode,description,module
ZPTM_SN_PO,Transaction code for ZPTM_SN-PO,PI
ZPTM_STAGING_TO,Generate staging TO for Crate Part,PI
ZPTM_STOCK_RPT,OnHand Inventory Extract for Kinaxis,PI
ZPTM_STOSHIP_LRD,PO Shipment Report,PI
ZPTM_TRAY_REPORT,Tray data,PI
ZPTP_AP_AUTO_REPORT,AP Auto Reporting,MM
ZPTP_COCOADDRS,Query for Company code address,MM
ZPTP_COPY_CONF,Copy Vendor Confirmation in PO,MM
ZPTP_DOWN_PAY,Bio-Rad Down Payment Tracking Report,MM
ZPTP_INFORD,Convert Info Record,MM
ZPTP_MAINTAIN_SL,Maintain Source List ,MM
ZPTP_MATGRP_GLAC, Maintain ZPTP_MATGRP_GLAC,MM
ZPTP_MRP_EXCEPTION,MRP EXCEPTION REPORT,MM
ZPTP_PARK_INV,PTP - Parked Invoice Report,MM
ZPTP_PIR_EXTRACT,Report to download PIR Data,MM
ZPTP_PO_AUTO_CLOSE,Open PO Auto Closure,MM
ZPTP_POCOCOADR,PO Company Code Address,MM
ZPTP_POVSPR,Transaction to maintain PO Vs. PR,MM
ZPTP_PR_AGENT,PR Agent table,MM
ZPTP_PR_RL_ALERT,Maintain PR Alert Agent ,MM
ZPTP_PR_WF_APPROVAL,PR Workflow Approval Report,MM
ZPTP_PREPAID_FRMEWRK,Prepaid Framewrk Order_AP_Automation,MM
ZPTP_REMADV_PARM, ZPTP_REMADV_PARM,MM
ZPTP_RS_ACCRUAL_REP,Bio-Rad PDAP/ICS Accrual Report,MM
ZPTP_SL_EXTRACT,Source List Extract Report,MM
ZPTP_STO_REPRICING,STO Repricing,MM
ZPTP_TPRICE,PTP_IDD_0077 Transfer Price,MM
ZPTP_UPDINFO,Update inforecord ME12,MM
ZPTP_UPDPIR,Update PIR Condition records,MM
ZRTR_CK84,Cost Itemization for Multi Materials,CO
ZRTR_DEFREV_2,Deferred Revenue Report,FI
ZRTR_DEFREV_OPT,Deffered Revenue Report (Optimized),FI
ZRTR_EXP_STOCK,Obsolete batch managed matl qty rep,CO
ZRTR_FIXED_ASSET,Transaction for Fixed Asset,FI
ZRTR_INVENTORY,Inventory Movement,FI
ZRTR_JUR_CODE_IMPCT,Jurisdiction Code Impact on Rezoning,FI
ZRTR_MATERIAL_MASTER,Material master validation RTR team,CO
ZRTR_ML_PRICES,Materials with missing Group costs,FI
ZRTR_ORD_COSTS,Orders Cost Analysis Report,CO
ZRTR_RFUTAX00_RPT,Trsaction code for the ZRTRN0020_RPT,FI
ZRTR_SMPLS,Samples Sales Report,FI
ZRTR_TAX_AUDIT_RPT,Sales_Tax_Audit_Report,FI
ZRTR0118_GL_DETAILS,G/L Account Line Item Detail Display,FI
ZVLPODL, ZLEXR0545O_WSPODLIST1,LE
